the picture is very crips and sharp in its native resolution which is a perfect one , and its easy on the eyes in two ways  .
its not only beautiful , but my eyes never get sore after hours in front of it .
the crisp detail at 1280 x 1024 is astounding  .
i transitioned from a 19 flat    crt and i feel like i gained screen real estate  .
i recommend this screen highly  .
oh , and by the way , this screen does work with windows  .
you just need the dvi    ator by dr  .
bott www  .
drbott  .
com or the apple adc to dvi adapter  .
both cost the same amount i think .
i cannot remember the last time a mere product gave me so much pleasure  .
i find the design beautiful  .
the image is slightly fuzzy at non    native resolutions , but at 1280 x 1024 the image quality is devastating   colours are bright and vivid , text is sharp , video is smooth  .
the amount of screen real estate is impressively larger than on my 17 crt  .
it's also easy on the eyes   i can stare at the screen all day without eye    strain  .
the only problem is that now i do not want to leave the office  .
if your computer supports the adc connection , buy this screen .
just replaced a sony 18  .
1 with the 17 apple studio display what a difference  .
bright , uniform lighting from side to side (unlike the sony) and far better color rendition .
once again , apple's products are better quality than others  .
i own a planar 15 flat panel and a viewsonic 17 this one is clearer , sharper , brighter and better in every way  .
thanks , apple .
have both this and the 22 display as well as other pc flat panel displays in the office  .
the operative word really is stunning when you use this monitor .
it has the clearest picture i've ever seen , especially under os x  .
it also has two usb ports on the back , and really cool finger    sensing buttons , one to wake up and put the computer to sleep , and the other to open the display control panel/display panel in os x sys  .
absolutely the best 17 flat panel on the market  .
stunning in every way  .
if i talk about it too much , i'll sound like i work for apple  .
you should definitely buy this if you have the adc connector on your machine (the 22 is absolutely gorgeous as well)  .
on one can refuse that apple did a good job on this nice design apple studio display  .
although the price is a bit higher , but it is not disappointed me  .
it's work very well will graphic images , texts and new os x  .
the color is so bright  .
if you are mac user , i recommended you to buy it .
i bought the 17 studio display with my new dual 800mhz g4 and am stunned  .
i have been a strict windows user until now and i never think i will go back  .
this screen accompanied by os 10  .
1 make for the perfect computer  .
the screen gives my desk space i never had and picuter i never had  .
i am very pleased  .
i just took delivery of my dp 800 g4 yesterday , and i finally got to hook up the 17 studio display and see it for myself  .
this thing is amazing  .
crystal clarity , great viewing angles , and what a snap (literally) to hook up  .
possibly one of the best attributes is that ther is almost no wire clutter only one cable reaching down to the tower so very clean  .
all this , and i got a great buy on it as an open box  .
highly reccomended good job (again) apple  .
outpost  .
com for $995  .
it seems like the days are turning into weeks as i wait and wait for its delivery  .
it is a little pricey , but its utility will make up for it , i am certain  .
i have to admitt , i purchased it mostly to compliment my new quicksilver (why have such a stunning tower paired with an ugly biege box for a monitor  .
i is concerned about color management intially , but after reading as much as i could get my hand on about this lcd , i have faith that apple did this right .
i cannot believe it  .
the time has finally come  .
the 17 inch display on my pc laptop looks and works great  .
all i can say is awesome  .
i cannot say anything that has not already been said  .
